Status,Authors,Title,Year
ACCEPTED,"Chahal D., Ojha R., Ramesh M., Singhal R.",Migrating Large Deep Learning Models to Serverless Architecture,2020
REJECTED,"Keshavarzian A., Sharifian S., Seyedin S.",Modified deep residual network architecture deployed on serverless framework of IoT platform based on human activity recognition application,2019
REJECTED,"Grohmann J., Nicholson P.K., Iglesias J.O., Kounev S., Lugones D.",Monitorless: Predicting performance degradation in cloud applications with machine learning,2019
REJECTED,"Jeng T.-H., Chan W.-M., Luo W.-Y., Huang C.-C., Chen C.-C., Chen Y.-M.",NetflowTotal: A cloud service integration platform for malicious traffic analysis and collaboration,2019
ACCEPTED,"Mvondo D., Bacou M., Nguetchouang K., Ngale L., Pouget S., Kouam J., Lachaize R., Hwang J., Wood T., Hagimont D., De Palma N., Batchakui B., Tchana A.",OFC: An opportunistic caching system for FaaS platforms,2021
ACCEPTED,"Barcelona-Pons D., Sánchez-Artigas M., París G., Sutra P., García-López P.",On the FaaS track: Building stateful distributed applications with serverless architectures,2019
REJECTED,"Mastenbroek F., Andreadis G., Jounaid S., Lai W., Burley J., Bosch J., Van Eyk E., Versluis L., Van Beek V., Iosup A.",OpenDC 2.0: Convenient modeling and simulation of emerging technologies in cloud datacenters,2021
ACCEPTED,"Rausch T., Rashed A., Dustdar S.",Optimized container scheduling for data-intensive serverless edge computing,2021
ACCEPTED,"Mahmoudi N., Khazaei H., Lin C., Litoiu M.",Optimizing serverless computing: Introducing an adaptive function placement algorithm,2020
ACCEPTED,"Chahal D., Mishra M., Palepu S., Singhal R.",Performance and cost comparison of cloud services for deep learning workload,2021
ACCEPTED,"Luckow A., Jha S.",Performance Characterization and Modeling of Serverless and HPC Streaming Applications,2019
REJECTED,"Luckow A., Rattan K., Jha S.",Pilot-Edge: Distributed Resource Management along the Edge-to-Cloud Continuum,2021
REJECTED,"Maeda D., Gaur S.",Poster: Lambda architecture for robust condition based maintenance with simulated failure modes,2020
ACCEPTED,"Khatri D., Khatri S.K., Mishra D.",Potential Bottleneck and Measuring Performance of Serverless Computing: A Literature Study,2020
REJECTED,"Patman J., Chemodanov D., Calyam P., Palaniappan K., Sterle C., Boccia M.",Predictive Cyber Foraging for Visual Cloud Computing in Large-Scale IoT Systems,2020
ACCEPTED,"Choi J., Lee J., Cho W.J.",Prognostics by classifying degradation stage on lambda architecture,2020
REJECTED,"Cho C., Shin S., Jeon H., Yoon S.",QoS-Aware Workload Distribution in Hierarchical Edge Clouds: A Reinforcement Learning Approach,2020
ACCEPTED,"Krichevsky N., St Louis R., Guo T.",Quantifying and Improving Performance of Distributed Deep Learning with Cloud Storage,2021
REJECTED,"Yadav P., Salwala D., Pontes F.A., Dhingra P., Curry E.",Query-driven video event processing for the internet multimedia things,2021
REJECTED,"Munoz Hernandez A., Scarlatti D., Costas P.",Real-Time Estimated Time of Arrival Prediction System using Historical Surveillance Data,2019
REJECTED,"Iftikhar N., Lachowicz B.P., Madarasz A., Nordbjerg F.E., Baattrup-Andersen T., Jeppesen K.",Real-time visualization of sensor data in smart manufacturing using lambda architecture,2020
ACCEPTED,"Kaplunovich A., Yesha Y.",Refactoring of Neural Network Models for Hyperparameter Optimization in Serverless Cloud,2020
ACCEPTED,"Zafeiropoulos A., Fotopoulou E., Filinis N., Papavassiliou S.",Reinforcement learning-assisted autoscaling mechanisms for serverless computing platforms,2022
ACCEPTED,"Ng J.S., Lim W.Y.B., Xiong Z., Cao X., Jin J., Niyato D., Leung C.S., Miao C.",Reputation-aware Hedonic Coalition Formation for Efficient Serverless Hierarchical Federated Learning,2021
REJECTED,Huimin Y.,Research on Parallel Support Vector Machine Based on Spark Big Data Platform,2021
REJECTED,"Maas M., Asanovi K., Kubiatowicz J.",Return of the Runtimes: Rethinking the Language Runtime System for the Cloud 3.0 Era,2017
REJECTED,"Preuveneers D., Berbers Y., Joosen W.",SAMURAI: A batch and streaming context architecture for large-scale intelligent applications and environments,2016
REJECTED,Furtado P.,"Scalability and realtime on big data, MapReduce, NoSQL and spark",2017
REJECTED,"Shaw A.K., Chakraborty A., Mohapatra D., Dutta S.",Scalable IoT solution using cloud services - An automobile industry use case,2020
REJECTED,"Vandebon J., Coutinho J.G.F., Luk W.",Scheduling Hardware-Accelerated Cloud Functions,2021
ACCEPTED,"Zhang M., Krintz C., Mock M., Wolski R.",Seneca: Fast and low cost hyperparameter search for machine learning models,2019
ACCEPTED,"Bac T.P., Tran M.N., Kim Y.",Serverless Computing Approach for Deploying Machine Learning Applications in Edge Layer,2022
REJECTED,"Marefat M., Juneja A.",Serverless data parallelization for training and retraining of deep learning architecture in patient-specific arrhythmia detection,2019
REJECTED,"Gupta V., Carrano D., Yang Y., Shankar V., Courtade T., Ramchandran K.",Serverless straggler mitigation using error-correcting codes,2020
REJECTED,"Risco S., Moltó G., Naranjo D.M., Blanquer I.",Serverless Workflows for Containerised Applications in the Cloud Continuum,2021
ACCEPTED,"Ishakian V., Muthusamy V., Slominski A.",Serving deep learning models in a serverless platform,2018
ACCEPTED,"Christidis A., Davies R., Moschoyiannis S.",Serving machine learning workloads in resource constrained environments: A serverless deployment example,2019
REJECTED,"Handrianto Y., Huang R., Shang Y.",Short paper: Tigeraware assistant: A new serverless implementation of conversational agents for customizable surveys on smart devices,2019
ACCEPTED,"Elsakhawy M., Bauer M.",SLA for Sequential Serverless Chains: A Machine Learning Approach,2021
ACCEPTED,"Chahal D., Palepu S., Mishra M., Singhal R.",SLA-Aware Workload Scheduling Using Hybrid Cloud Services,2021
REJECTED,"Vandebon J., Coutinho J.G.F., Luk W., Nurvitadhi E., Naik M.",SLATE: Managing heterogeneous cloud functions,2020
REJECTED,"Batyuk A., V Oityshyn V., Verhun V.",Software Architecture Design of the Real- Time Processes Monitoring Platform,2018
REJECTED,"Mohapatra S., Mohapatra A., Patil A.",Soil Analysis and its Type Prediction with Speech Enabled Output using IoT and AWS,2020
ACCEPTED,"Zhang M., Krintz C., Wolski R.",STOIC: Serverless Teleoperable Hybrid Cloud for Machine Learning Applications on Edge Device,2020
ACCEPTED,"Bhattacharjee A., Barve Y., Khare S., Bao S., Gokhale A., Damiano T.",Stratum: A serverless framework for the lifecycle management of machine learning-based data analytics tasks,2019
REJECTED,"Sankhe P., Khabiri E., Agrawal B., Li Y.",TableNN: Deep Learning Framework for Learning Domain Specific Tabular Data,2021
REJECTED,"Meade E., O’Keeffe E., Lyons N., Lynch D., Yilmaz M., Gulec U., O’Connor R.V., Clarke P.M.",The Changing Role of the Software Engineer,2019
REJECTED,"Demertzis K., Tziritas N., Kikiras P., Sanchez S.L., Iliadis L.",The next generation cognitive security operations center: Adaptive analytic lambda architecture for efficient defense against adversarial attacks,2019
REJECTED,"Huber F., Mock M.",Toci: Computational Intelligence in an Energy Management System,2020
ACCEPTED,"Patros P., Spillner J., Papadopoulos A.V., Varghese B., Rana O., Dustdar S.",Toward Sustainable Serverless Computing,2021
ACCEPTED,"Jiang J., Gan S., Liu Y., Wang F., Alonso G., Klimovic A., Singla A., Wu W., Zhang C.",Towards Demystifying Serverless Machine Learning Training,2021
ACCEPTED,"Chadha M., Jindal A., Gerndt M.",Towards Federated Learning using FaaS Fabric,2020
REJECTED,"Kessentini O., Dalce R., Megdiche I., Bastide R.",Towards predicting frailty symptoms through a smart walking stick,2018
ACCEPTED,"Nesen A., Bhargava B.",Towards situational awareness with multimodal streaming data fusion: Serverless computing approach,2021
REJECTED,"Campanile L., Iacono M., Martinelli F., Marulli F., Mastroianni M., Mercaldo F., Santone A.",Towards the Use of Generative Adversarial Neural Networks to Attack Online Resources,2020
ACCEPTED,"Dakkak A., Li C., De Gonzalo S.G., Xiong J., Hwu W.-M.",TrIMS: Transparent and isolated model sharing for low latency deep learning inference in function-as-a-service,2019
REJECTED,"Hwang M., Williamson C.",Using cloud tools for literate programming to redesign an ai course for non-traditional college students,2020
REJECTED,"Salehe M., Hu Z., Mortazavi S.H., Capes T., Mohomed I.",VideoPipe: Building video stream processing pipelines at the edge,2019
ACCEPTED,"Ma L., Shao E., Zhou Y., Tan G.",WidePipe: High-Throughput Deep Learning Inference System on a Cluster of Neural Processing Units,2021
ACCEPTED,Tagliabue J.,You Do Not Need a bigger boat: Recommendations at Reasonable Scale in a (Mostly) serverless and open stack,2021
